@relation cleaned_credit-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R1

@attribute checking_amt numeric
@attribute duration numeric
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credit history','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,Unknown,'used car','new car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute savings numeric
@attribute employment {>=7,1<=X<4,4<=X<7,Unknown,unemployed,<1}
@attribute installment_commitment numeric
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid',Unknown}
@attribute other_parties {none,Unknown,guarantor,'co applicant'}
@attribute residence_since numeric
@attribute property_magnitude {'real estate',Other,'life insurance','no known property',car}
@attribute age numeric
@attribute other_payment_plans {none,Other,bank,stores}
@attribute housing {own,Other,'for free',rent}
@attribute existing_credits numeric
@attribute job {skilled,'unskilled resident','high qualif/self emp/mgmt',Other,'unemp/unskilled non res'}
@attribute own_telephone {yes,none,no}
@attribute foreign_worker {no,yes,Unknown}
@attribute class {Bad,Good}

@data
190.69,18,'critical/other existing credit','new car',884,90.53,>=7,4,'male single',none,4,car,36,bank,own,1,skilled,yes,yes,Good
0,15,'no credit history',radio/tv,1360,0,1<=X<4,4,Unknown,none,2,'life insurance',31,none,own,2,skilled,none,yes,Bad
0,9,'all paid',Unknown,5129,0,>=7,2,'female div/dep/mar',none,0,Other,31,bank,'for free',1,'high qualif/self emp/mgmt',yes,no,Good
18.61,16,'critical/other existing credit','new car',1175,95.88,unemployed,2,'male single',Unknown,3,car,68,none,'for free',3,'unemp/unskilled non res',yes,no,Bad
-8569.38,12,'existing paid',radio/tv,674,319.57,4<=X<7,4,'male mar/wid',none,0,Other,20,none,own,1,skilled,no,yes,Good
122.36,18,'no credits/all paid',furniture/equipment,3244,86.38,1<=X<4,1,'female div/dep/mar',none,0,car,33,bank,own,2,skilled,yes,Unknown,Bad
0,24,'existing paid',business,4591,0,1<=X<4,2,'male single',none,3,Other,54,none,own,3,Other,yes,yes,Bad
5.06,48,'no credits/all paid',business,3844,0,4<=X<7,4,'male single',none,4,'no known property',34,none,Other,1,'unskilled resident',none,Unknown,Good
2.66,27,'existing paid',business,3915,90.63,1<=X<4,4,'male single',none,2,Other,36,none,own,1,skilled,yes,yes,Good
0,6,'existing paid',radio/tv,2108,0,4<=X<7,2,'male mar/wid',none,2,'real estate',29,none,Other,1,skilled,none,Unknown,Bad
0,45,'existing paid',radio/tv,3031,0,1<=X<4,0,'male single',guarantor,4,'life insurance',21,none,rent,1,skilled,none,yes,Bad
0,20,'critical/other existing credit',education,1501,0,>=7,2,'female div/dep/mar',none,3,car,34,none,own,2,'high qualif/self emp/mgmt',yes,yes,Good
0,6,'critical/other existing credit',radio/tv,1382,0,1<=X<4,1,'female div/dep/mar',none,1,car,28,none,own,2,skilled,yes,yes,Bad
41.55,20,'existing paid',furniture/equipment,951,145.16,<1,4,'female div/dep/mar',none,4,car,27,bank,rent,4,skilled,no,yes,Good
73.46,24,'existing paid','used car',2760,0,>=7,4,'male single',none,4,'no known property',36,bank,'for free',1,skilled,yes,no,Bad
5.45,18,'delayed previously',Unknown,4297,38.61,>=7,4,'male div/sep',none,3,Other,40,none,own,1,'high qualif/self emp/mgmt',yes,no,Good
0,9,'critical/other existing credit',Unknown,936,0,>=7,0,'male single',none,2,car,31,none,own,2,skilled,yes,yes,Bad
-1525.5,12,'existing paid',Unknown,1168,72.61,1<=X<4,4,'male mar/wid',none,3,Other,27,none,own,1,'unskilled resident',none,yes,Bad
0,27,'delayed previously',business,5117,0,4<=X<7,3,'male single',none,4,car,31,none,own,2,skilled,none,Unknown,Bad
-4203.08,12,'existing paid',retraining,902,72.58,4<=X<7,4,'male mar/wid',Unknown,4,'life insurance',21,none,rent,1,skilled,none,no,Bad
0,12,'critical/other existing credit','new car',1495,0,>=7,0,'male single',none,1,Other,38,none,own,0,'unskilled resident',none,no,Bad
-497.79,30,'critical/other existing credit',Unknown,10623,10.76,>=7,3,'male single',none,4,'no known property',38,none,'for free',3,Other,yes,no,Good
0,12,'critical/other existing credit',furniture/equipment,1935,0,>=7,4,'male single',none,4,'real estate',43,none,Other,3,Other,yes,no,Bad
93.51,12,'critical/other existing credit','domestic appliance',1424,69.55,4<=X<7,0,'male single',none,3,'life insurance',26,none,own,1,Other,none,no,Bad
-1515.21,24,'existing paid',business,6568,9.01,1<=X<4,2,Unknown,none,2,car,21,stores,own,1,'unskilled resident',none,Unknown,Good
0,12,'existing paid','used car',1413,0,4<=X<7,3,'male single',Unknown,2,'life insurance',55,none,own,0,skilled,no,no,Good
0,9,'critical/other existing credit',radio/tv,3074,0,Unknown,1,Unknown,none,2,'real estate',33,none,Other,2,skilled,none,no,Bad
0,36,'existing paid',radio/tv,3835,0,>=7,2,'female div/dep/mar',none,4,'real estate',45,none,own,1,'unskilled resident',yes,yes,Bad
-2297.6,27,'no credits/all paid',business,5293,25.73,unemployed,2,'male single',none,0,Other,31,stores,Other,2,skilled,yes,no,Good
7044.86,30,'delayed previously',business,1908,57.07,>=7,4,'male single',none,4,'real estate',66,none,own,1,'high qualif/self emp/mgmt',yes,no,Bad
0,36,'no credit history',radio/tv,3342,0,>=7,4,Unknown,none,0,car,31,none,own,0,skilled,yes,yes,Good
119.36,6,'critical/other existing credit',Unknown,932,0,Unknown,1,'female div/dep/mar',none,3,'life insurance',39,none,own,2,'unskilled resident',none,no,Good
0,18,'no credits/all paid',business,3104,0,4<=X<7,0,'male single',none,1,'life insurance',31,bank,own,1,skilled,yes,no,Good
8427.47,36,'existing paid',radio/tv,3913,94.68,1<=X<4,2,'male single',Unknown,0,'real estate',23,none,own,1,skilled,yes,no,Bad
-5135.08,24,'existing paid',furniture/equipment,3021,0,1<=X<4,2,'male div/sep',none,2,'real estate',24,none,rent,1,'unskilled resident',none,no,Good
0,10,'existing paid','new car',1364,0,1<=X<4,2,'female div/dep/mar',none,4,Other,64,Other,own,1,skilled,yes,yes,Bad
41.29,12,'existing paid',Unknown,625,27.59,<1,4,'male mar/wid',guarantor,1,'real estate',26,bank,own,1,'unskilled resident',none,yes,Bad
-2287.81,12,'no credit history',education,1200,0,1<=X<4,4,'female div/dep/mar',none,4,Other,23,bank,rent,0,skilled,yes,yes,Good
0,12,'existing paid',Unknown,707,0,1<=X<4,4,'male single',none,2,'real estate',30,bank,own,2,skilled,none,yes,Good
0,24,'delayed previously',Unknown,2978,0,1<=X<4,4,'male single',none,4,'real estate',32,none,own,2,Other,yes,yes,Good
0,15,'existing paid','used car',4657,0,1<=X<4,3,'male single',none,2,car,30,Other,own,1,skilled,no,yes,Good
0,36,'no credits/all paid',repairs,2613,0,1<=X<4,4,'male single',Unknown,2,car,27,none,own,0,skilled,none,no,Bad
149.22,20,'existing paid',radio/tv,10961,2648.91,4<=X<7,1,'male single','co applicant',2,'no known property',27,bank,own,2,skilled,yes,no,Bad
-4808.4,12,'existing paid',furniture/equipment,7865,0,>=7,0,'male single',none,0,'no known property',53,none,Other,1,'high qualif/self emp/mgmt',yes,no,Good
0,9,'existing paid',radio/tv,1478,0,4<=X<7,4,'male single',none,2,car,22,none,own,1,skilled,none,no,Bad
0,24,'existing paid',furniture/equipment,3149,0,<1,4,'male single',none,1,'no known property',22,bank,'for free',1,skilled,none,no,Bad
7308.81,36,'existing paid',Unknown,4210,7.28,1<=X<4,4,'male single',none,2,car,26,Other,own,1,skilled,none,no,Good
0,9,'existing paid','new car',2507,0,Unknown,2,'male single',Unknown,4,'no known property',51,none,'for free',0,'unskilled resident',no,no,Good
0,12,'no credit history',radio/tv,2141,0,4<=X<7,3,'male single',none,1,'no known property',35,none,own,1,skilled,none,no,Bad
154.16,18,'no credit history',radio/tv,866,86.28,1<=X<4,4,'male mar/wid',guarantor,2,'real estate',25,none,own,1,'unskilled resident',none,no,Good
0,4,'critical/other existing credit',radio/tv,1544,0,4<=X<7,2,'male single',none,1,'real estate',42,none,own,3,'unskilled resident',none,yes,Bad
-9256.59,24,'existing paid',radio/tv,1823,53.53,unemployed,4,'male single',none,2,car,30,stores,Other,1,'high qualif/self emp/mgmt',none,yes,Good
69.73,6,'existing paid','new car',14555,0,unemployed,1,'male single',none,2,'life insurance',23,none,own,1,'unemp/unskilled non res',yes,no,Bad
57.58,21,'existing paid',business,2767,0,>=7,4,Unknown,none,2,car,61,bank,rent,0,'unskilled resident',none,no,Bad
0,12,'critical/other existing credit',Unknown,1291,0,1<=X<4,4,'female div/dep/mar',none,2,'life insurance',31,none,own,2,Other,none,yes,Good
-4641.13,30,'existing paid',Unknown,2522,71.17,>=7,1,'male single',Unknown,3,'life insurance',39,none,own,1,skilled,none,no,Good
-4772.2,24,'existing paid','new car',915,0,>=7,4,Unknown,none,2,car,31,bank,own,0,skilled,none,no,Good
0,20,'no credit history',Unknown,3234,0,Unknown,0,Unknown,Unknown,0,Other,31,Other,Other,0,Other,no,Unknown,Good
0,6,'existing paid',radio/tv,1595,0,4<=X<7,3,Unknown,none,2,Other,51,none,own,1,skilled,none,no,Bad
-6913.58,48,'no credits/all paid','used car',4605,82.93,>=7,3,'male single',none,4,Other,24,none,'for free',2,skilled,none,yes,Good
0,12,'critical/other existing credit',business,1185,0,1<=X<4,3,'female div/dep/mar',none,2,Other,27,none,own,2,skilled,none,Unknown,Good
0,12,'all paid',retraining,3447,0,1<=X<4,4,'female div/dep/mar',none,3,'real estate',35,none,own,1,'unskilled resident',none,no,Bad
0,24,'existing paid',business,1258,0,4<=X<7,4,'male single',none,1,'real estate',25,none,own,1,skilled,yes,no,Bad
0,12,'critical/other existing credit',radio/tv,717,0,>=7,4,'male single',none,4,'real estate',52,none,Other,3,Other,none,Unknown,Bad
0,6,'no credits/all paid','new car',1204,0,1<=X<4,0,'male single',none,1,'no known property',35,bank,rent,1,skilled,none,no,Good
4844.17,24,'existing paid',Unknown,1925,84.16,1<=X<4,2,'male single',none,2,'real estate',26,none,own,1,skilled,none,yes,Good
0,18,'existing paid',radio/tv,433,0,unemployed,3,'female div/dep/mar','co applicant',4,'real estate',22,none,rent,1,skilled,none,yes,Good
-350.28,6,'critical/other existing credit','new car',666,2438.92,4<=X<7,3,'female div/dep/mar',none,0,'real estate',39,none,own,2,'unskilled resident',yes,Unknown,Good
2323.65,12,'existing paid',furniture/equipment,2251,9.33,1<=X<4,1,'female div/dep/mar',none,2,car,46,none,own,0,'unskilled resident',none,no,Good
84.68,30,'existing paid','new car',2150,47.59,1<=X<4,4,'female div/dep/mar',guarantor,2,'no known property',24,bank,own,0,Other,none,yes,Bad
0,24,'delayed previously',furniture/equipment,4151,0,1<=X<4,2,'male single',none,3,'life insurance',35,none,own,0,skilled,none,yes,Bad
39.8,9,'existing paid',furniture/equipment,2030,0,4<=X<7,2,'male single',Unknown,1,car,24,none,Other,1,skilled,yes,no,Good
49.03,20,'delayed previously',radio/tv,7418,0,1<=X<4,1,'male single',none,1,'real estate',27,none,own,1,'unskilled resident',none,yes,Bad
0,24,'critical/other existing credit',Unknown,2684,0,1<=X<4,0,'male single',none,2,'real estate',35,none,own,2,'unskilled resident',none,no,Good
-255.77,12,'all paid',radio/tv,2149,14.98,1<=X<4,4,Unknown,none,1,'no known property',29,none,'for free',1,Other,none,yes,Bad
0,15,'existing paid','used car',3812,0,<1,1,'female div/dep/mar',Unknown,4,car,23,none,own,0,skilled,yes,no,Good
0,11,'critical/other existing credit',radio/tv,1154,0,unemployed,0,'female div/dep/mar',none,4,'real estate',57,Other,own,3,'unskilled resident',none,no,Good
-5536.22,12,'no credit history',furniture/equipment,1657,45.58,1<=X<4,2,'male single',none,2,'real estate',31,none,own,1,skilled,none,yes,Good
-1579.52,24,'existing paid',radio/tv,1603,74.65,Unknown,4,Unknown,none,0,car,55,none,own,1,skilled,none,yes,Bad
-1502.18,18,'critical/other existing credit','new car',5302,83.75,>=7,2,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',yes,no,Good
0,12,'critical/other existing credit',education,3234,0,Unknown,2,'female div/dep/mar',none,4,'no known property',57,bank,'for free',3,'unskilled resident',none,yes,Good
0,10,'critical/other existing credit','new car',1231,0,>=7,3,'male single',none,0,'real estate',32,none,own,2,'unskilled resident',none,no,Bad
135.62,15,'existing paid',radio/tv,802,73.76,Unknown,4,Unknown,none,3,Other,37,none,own,1,skilled,none,no,Good
0,36,'critical/other existing credit',business,6304,0,>=7,4,Unknown,none,4,'real estate',36,none,own,2,skilled,none,no,Good
0,24,'existing paid',radio/tv,1533,0,<1,4,'female div/dep/mar',none,3,car,38,stores,own,1,skilled,no,yes,Good
-517.47,14,'existing paid','new car',8978,85.21,>=7,1,'male div/sep',none,4,'life insurance',45,none,own,1,'high qualif/self emp/mgmt',yes,no,Bad
0,24,'existing paid',radio/tv,999,0,>=7,0,'male single',none,2,car,31,none,own,2,skilled,none,yes,Good
0,18,'existing paid','new car',2662,0,Unknown,4,'male single',none,0,'life insurance',32,none,Other,1,skilled,none,yes,Bad
0,12,'critical/other existing credit',furniture/equipment,3234,0,4<=X<7,3,'female div/dep/mar',none,4,car,37,none,rent,1,skilled,yes,no,Bad
171.45,48,'all paid','new car',12169,0,unemployed,4,'male single','co applicant',4,'no known property',36,none,'for free',1,'high qualif/self emp/mgmt',yes,no,Good
187.45,48,'existing paid',radio/tv,3060,67.23,4<=X<7,0,Unknown,none,4,'real estate',28,none,Other,0,skilled,none,yes,Good
-5525.31,30,'no credit history',repairs,11998,38.84,<1,0,'male div/sep',none,0,Other,34,none,own,1,'unskilled resident',yes,no,Good
0,9,'existing paid',radio/tv,3234,0,1<=X<4,0,Unknown,none,2,'real estate',32,none,own,1,skilled,none,yes,Good
0,18,'critical/other existing credit',Unknown,3234,0,Unknown,0,'female div/dep/mar',none,2,car,26,none,own,2,skilled,none,no,Good
-6825.17,12,'no credit history',furniture/equipment,1262,0,>=7,2,'male div/sep',Unknown,4,'life insurance',49,none,own,1,'unskilled resident',yes,no,Good
0,6,'existing paid',furniture/equipment,4611,0,<1,1,'female div/dep/mar',Unknown,0,'life insurance',32,none,own,1,skilled,none,no,Good
0,24,'no credit history',radio/tv,1901,0,1<=X<4,4,Unknown,Unknown,4,car,29,none,rent,1,'high qualif/self emp/mgmt',yes,no,Bad
0,15,'critical/other existing credit',Unknown,3234,0,>=7,3,Unknown,none,4,'no known property',23,none,rent,2,skilled,yes,yes,Good
0,12,'existing paid',furniture/equipment,1574,0,1<=X<4,4,'male single',none,2,'real estate',50,none,own,1,skilled,no,no,Bad
0,18,'all paid',radio/tv,1445,0,4<=X<7,4,Unknown,none,4,car,31,Other,own,1,'unskilled resident',none,no,Good
0,15,'critical/other existing credit',Unknown,1520,0,>=7,4,'male single',none,4,'life insurance',63,none,own,1,skilled,none,no,Good
19.48,24,'no credit history','new car',3878,384.02,<1,4,'male div/sep',none,2,car,31,Other,Other,1,skilled,yes,yes,Good
-5888.3,20,'existing paid','new car',3234,58.62,<1,1,'female div/dep/mar',Unknown,1,'real estate',35,none,own,1,'unskilled resident',no,no,Good
-7579.53,48,'existing paid','used car',3234,24.62,4<=X<7,4,'male single',none,3,'life insurance',26,none,own,1,skilled,no,yes,Bad
130.14,48,'delayed previously',other,3234,376.5,unemployed,2,'male single',none,0,'no known property',31,none,'for free',1,'high qualif/self emp/mgmt',yes,no,Good
169.03,12,'existing paid',radio/tv,1092,26.55,1<=X<4,4,'female div/dep/mar',Unknown,4,'real estate',31,none,own,2,skilled,no,no,Good
-7872.78,24,'no credit history',radio/tv,1024,0,<1,4,'male mar/wid',none,4,'real estate',48,stores,own,1,skilled,none,Unknown,Bad
0,12,'existing paid',business,1076,0,1<=X<4,2,Unknown,none,2,'real estate',26,Other,own,1,skilled,yes,no,Bad
155.74,36,'existing paid','used car',9398,93.87,<1,1,'male mar/wid',none,4,car,28,none,rent,1,'high qualif/self emp/mgmt',yes,yes,Good
-9594.86,24,'critical/other existing credit','used car',6419,16.26,>=7,2,'female div/dep/mar',none,4,'no known property',44,none,'for free',2,'high qualif/self emp/mgmt',yes,no,Bad
7720.46,20,'critical/other existing credit','used car',3234,40.81,>=7,4,'male single',none,4,'no known property',56,none,'for free',1,skilled,none,no,Good
0,48,'critical/other existing credit',business,7629,0,>=7,4,'male div/sep',none,2,car,46,bank,own,2,'high qualif/self emp/mgmt',none,no,Bad
61.96,48,'existing paid',furniture/equipment,9960,64.33,<1,1,Unknown,none,2,car,26,none,own,1,skilled,no,yes,Good
0,12,'existing paid','used car',4675,0,Unknown,1,'female div/dep/mar',none,4,car,20,none,rent,1,skilled,none,no,Bad
0,10,'existing paid',Unknown,1287,0,Unknown,4,'male single','co applicant',2,'life insurance',45,none,Other,1,'unskilled resident',no,yes,Good
0,18,'no credit history',furniture/equipment,2515,0,1<=X<4,3,'male single',none,4,'real estate',43,none,own,0,skilled,yes,yes,Bad
0.31,21,'critical/other existing credit',furniture/equipment,2745,1787.08,4<=X<7,3,'male single',none,2,car,32,none,own,2,skilled,yes,Unknown,Good
0,6,'existing paid','new car',672,0,unemployed,1,'female div/dep/mar',none,4,'real estate',54,none,own,1,'unemp/unskilled non res',yes,no,Good
192.02,36,'no credit history',radio/tv,3804,0,1<=X<4,4,'female div/dep/mar',none,1,car,42,none,own,1,skilled,yes,yes,Good
5659.69,20,'critical/other existing credit','new car',1344,0,4<=X<7,4,'male single',none,0,'real estate',37,bank,own,2,'unskilled resident',none,no,Good
-8464.44,10,'critical/other existing credit',Unknown,1038,38.82,4<=X<7,4,'male single','co applicant',0,Other,49,none,Other,2,skilled,yes,yes,Bad
0,48,'critical/other existing credit','new car',3234,0,1<=X<4,2,'male single',none,2,'no known property',44,bank,Other,1,skilled,none,yes,Bad
0,6,'no credit history',furniture/equipment,1543,0,1<=X<4,4,'male div/sep',none,2,'real estate',33,none,own,1,skilled,none,yes,Good
0,20,'existing paid','used car',4811,0,4<=X<7,2,'female div/dep/mar',none,0,'life insurance',24,stores,rent,1,'unskilled resident',none,no,Good
-8135.03,12,'existing paid',radio/tv,727,473.67,<1,4,'male mar/wid',none,3,'no known property',33,none,own,1,'unskilled resident',yes,yes,Bad
0,8,'no credit history',furniture/equipment,1237,0,1<=X<4,3,'female div/dep/mar',none,4,'real estate',24,none,own,1,skilled,none,no,Bad
0,9,'existing paid','new car',276,0,1<=X<4,4,'male mar/wid',none,4,'real estate',31,none,rent,0,'unskilled resident',none,no,Bad
192.16,48,'no credit history',other,5381,0,unemployed,3,Unknown,none,4,'no known property',40,bank,'for free',1,'unemp/unskilled non res',yes,no,Good
0,24,'existing paid',furniture/equipment,5511,0,1<=X<4,4,'male single',none,1,car,25,stores,Other,1,skilled,none,no,Good
797.21,24,'no credit history',furniture/equipment,3234,98.87,Unknown,2,Unknown,none,4,car,26,none,own,1,skilled,none,yes,Bad
137.41,12,'existing paid',Unknown,685,38.95,4<=X<7,2,'male mar/wid',none,3,car,25,bank,own,1,'unskilled resident',none,yes,Good
4365.37,4,'existing paid','new car',1494,0,<1,1,'male single',none,0,Other,29,none,own,1,'unskilled resident',no,yes,Good
-5992.61,36,'all paid',furniture/equipment,2746,27.23,>=7,4,'male single',Unknown,4,car,31,bank,own,1,Other,none,no,Good
-3145.9,12,'existing paid',furniture/equipment,708,0,Unknown,2,'male single',guarantor,3,'life insurance',38,Other,own,1,'unskilled resident',no,no,Good
77.88,24,'existing paid',furniture/equipment,3234,0,1<=X<4,1,'female div/dep/mar',none,4,'life insurance',48,none,own,1,Other,yes,Unknown,Good
0,12,'no credit history',education,701,0,1<=X<4,4,'male single',none,2,car,32,none,own,2,skilled,none,yes,Bad
-3417.74,15,'delayed previously',furniture/equipment,3643,16.7,>=7,1,'female div/dep/mar',none,0,'life insurance',27,none,own,2,'unskilled resident',none,yes,Bad
122,30,'critical/other existing credit',Unknown,4249,90.83,unemployed,4,'male mar/wid',none,2,car,28,none,Other,2,'high qualif/self emp/mgmt',none,yes,Good
-4562.14,24,'existing paid',radio/tv,1938,17.04,<1,4,'male div/sep',none,3,'life insurance',32,none,Other,1,skilled,none,yes,Bad
-3923.01,24,'existing paid','used car',2910,74.32,4<=X<7,2,Unknown,Unknown,1,'no known property',34,none,'for free',1,'high qualif/self emp/mgmt',yes,no,Good
-7400.92,18,'no credit history',furniture/equipment,2659,5806.39,1<=X<4,4,'male single',none,2,car,28,none,Other,1,skilled,none,yes,Good
0,18,'critical/other existing credit','new car',1028,0,1<=X<4,4,'female div/dep/mar',Unknown,3,'real estate',36,none,own,2,skilled,none,no,Bad
-3324.64,8,'critical/other existing credit','new car',3398,61.33,4<=X<7,1,Unknown,none,4,'real estate',39,none,own,2,'unskilled resident',none,no,Bad
0,12,'critical/other existing credit',furniture/equipment,3234,0,>=7,2,'male single',none,4,'life insurance',49,none,rent,1,skilled,yes,no,Bad
0,24,'existing paid','new car',1525,0,4<=X<7,4,'female div/dep/mar',Unknown,3,car,34,none,own,1,skilled,yes,yes,Good
6300.38,36,'existing paid',radio/tv,4473,46.6,>=7,4,'male single',none,2,car,31,none,own,1,skilled,none,yes,Good
0,20,'no credit history',Unknown,3234,0,Unknown,0,Unknown,Unknown,0,Other,31,Other,Other,0,Other,no,Unknown,Good
94.48,6,'existing paid',radio/tv,1068,73.19,>=7,4,'male single',none,4,car,28,none,own,1,skilled,none,yes,Good
-8908.55,24,'critical/other existing credit','used car',6615,58.88,Unknown,2,'male single',none,4,'no known property',75,none,Other,2,'high qualif/self emp/mgmt',yes,no,Bad
0,18,'critical/other existing credit',education,1864,0,1<=X<4,4,Unknown,none,2,'real estate',30,none,own,2,skilled,no,yes,Good
106.45,60,'existing paid','new car',7408,479.08,<1,4,Unknown,none,2,Other,24,none,own,1,'high qualif/self emp/mgmt',none,no,Good
0,48,'critical/other existing credit','used car',11590,0,1<=X<4,2,'female div/dep/mar',none,4,car,24,bank,rent,0,'unskilled resident',none,yes,Good
-596.17,24,'no credits/all paid',furniture/equipment,4110,95.01,Unknown,3,'male single',none,0,'no known property',31,bank,Other,2,skilled,none,no,Bad
-1018.74,6,'critical/other existing credit',furniture/equipment,3384,98.78,1<=X<4,1,'male div/sep',none,4,'real estate',44,none,rent,1,'high qualif/self emp/mgmt',no,yes,Bad
145.59,13,'existing paid',radio/tv,2101,66.57,<1,2,'female div/dep/mar',guarantor,4,'life insurance',23,none,own,1,'unskilled resident',none,yes,Good
-6090.13,15,'existing paid','domestic appliance',3234,0,1<=X<4,4,'female div/dep/mar',none,2,car,24,Other,rent,1,skilled,none,no,Bad
-5498.76,24,'existing paid',furniture/equipment,4169,68.48,1<=X<4,4,'male single',Unknown,0,'life insurance',28,Other,own,1,skilled,none,no,Good
103.39,10,'existing paid',furniture/equipment,3234,93.87,1<=X<4,4,'male div/sep',none,2,car,31,Other,own,1,'unskilled resident',none,yes,Good
163.9,24,'critical/other existing credit',education,5743,45.64,<1,2,'female div/dep/mar',none,4,'no known property',31,none,'for free',2,skilled,yes,yes,Bad
-6405.45,21,'existing paid',furniture/equipment,3234,59.79,4<=X<7,1,'female div/dep/mar',none,4,car,31,none,rent,1,'unskilled resident',none,no,Good
193.31,18,'existing paid',radio/tv,3213,0,<1,1,'male mar/wid',none,3,'real estate',25,none,rent,1,skilled,none,no,Good
116.75,18,'existing paid',Unknown,4439,65.84,>=7,1,'male single','co applicant',1,'real estate',33,bank,own,1,'high qualif/self emp/mgmt',yes,yes,Good
2557.93,10,'existing paid','new car',3949,0.75,<1,1,'male single',Unknown,0,'life insurance',37,none,own,1,Other,none,no,Good
0,15,'critical/other existing credit',radio/tv,1459,0,1<=X<4,4,'female div/dep/mar',none,2,car,43,none,own,1,'unskilled resident',none,yes,Good
134.6,20,'critical/other existing credit',radio/tv,882,0,<1,4,'male single',Unknown,4,'real estate',23,none,own,2,skilled,none,yes,Bad
155.32,24,'existing paid',radio/tv,3758,623.93,unemployed,1,'female div/dep/mar',none,0,'no known property',23,none,rent,1,'unemp/unskilled non res',none,no,Bad
0,6,'delayed previously',business,1743,0,1<=X<4,0,'male single',none,2,'real estate',34,none,Other,2,'unskilled resident',none,yes,Good
68.16,9,'critical/other existing credit',education,1136,0,>=7,4,'male single',none,3,Other,32,none,'for free',0,Other,no,no,Good
0,9,'existing paid','domestic appliance',1236,0,<1,1,'female div/dep/mar',none,4,'real estate',23,none,rent,1,skilled,yes,yes,Bad
9.39,9,'existing paid',furniture/equipment,3234,83.12,1<=X<4,1,'female div/dep/mar',none,0,Other,29,none,own,1,skilled,none,yes,Bad
0,18,'critical/other existing credit','used car',3229,0,unemployed,2,'male single',none,0,'no known property',38,none,Other,1,'high qualif/self emp/mgmt',yes,yes,Good
-5039.28,12,'no credits/all paid',radio/tv,3234,84.14,1<=X<4,4,'male single',none,2,Other,28,none,rent,0,skilled,yes,no,Good
0,10,'existing paid',education,727,0,>=7,4,'male single',none,4,'no known property',31,none,'for free',1,skilled,yes,yes,Good
0,24,'existing paid','new car',1246,0,<1,4,'male single',none,2,'real estate',23,stores,own,1,'unskilled resident',none,yes,Good
0,12,'critical/other existing credit',radio/tv,2331,0,>=7,1,'male single',Unknown,4,'real estate',49,none,own,1,skilled,yes,no,Good
0,36,'delayed previously',radio/tv,3234,0,1<=X<4,4,'male single',none,2,Other,31,none,own,2,'high qualif/self emp/mgmt',yes,no,Good
0,12,'existing paid',radio/tv,776,0,1<=X<4,4,'male mar/wid',none,2,'real estate',28,none,Other,1,skilled,none,no,Bad
-4887.82,30,'existing paid',furniture/equipment,2406,32.57,Unknown,4,'female div/dep/mar',none,4,'real estate',23,none,Other,1,skilled,none,no,Good
85.71,18,'existing paid',education,1239,0,1<=X<4,4,'male single',none,4,'no known property',61,Other,Other,1,skilled,no,no,Bad
0,12,'existing paid',radio/tv,3399,0,Unknown,2,'male single',none,3,Other,37,none,own,1,'high qualif/self emp/mgmt',none,Unknown,Good
9712.82,12,'no credit history','new car',2247,5.02,1<=X<4,2,'female div/dep/mar',none,2,car,36,stores,own,2,skilled,no,no,Bad
0,6,'existing paid',furniture/equipment,1766,0,1<=X<4,0,'male mar/wid',Unknown,2,'life insurance',21,none,rent,0,skilled,none,yes,Good
-3712.31,18,'existing paid',furniture/equipment,2473,0,unemployed,4,'male single',none,0,car,25,none,Other,1,'unemp/unskilled non res',none,yes,Good
0,12,'no credit history',business,1542,0,4<=X<7,2,'male single',none,4,car,36,Other,own,1,skilled,yes,no,Good
0,18,'critical/other existing credit','used car',3850,0,4<=X<7,3,'male single',none,1,Other,27,none,own,2,skilled,none,Unknown,Good
0,18,'existing paid',furniture/equipment,3650,0,<1,1,'female div/dep/mar',none,4,car,31,none,rent,1,skilled,none,no,Good
-1319.16,36,'existing paid',furniture/equipment,3446,35.38,>=7,4,'male single',Unknown,2,car,31,none,own,0,skilled,none,yes,Good
94.62,18,'existing paid',furniture/equipment,3001,0,4<=X<7,0,'female div/dep/mar',Unknown,4,'real estate',40,none,rent,1,skilled,no,no,Bad
0,36,'existing paid','new car',3079,0,1<=X<4,4,'male single',none,4,'real estate',36,none,own,1,skilled,none,yes,Good
0,18,'critical/other existing credit',radio/tv,6070,0,>=7,3,'male single',none,4,car,33,none,own,2,skilled,yes,no,Bad
0,10,'critical/other existing credit',furniture/equipment,2146,0,<1,0,'female div/dep/mar',none,3,'real estate',23,Other,rent,2,skilled,none,no,Good
0,60,'critical/other existing credit','new car',13756,0,>=7,2,'male single',none,4,'no known property',63,bank,'for free',1,'high qualif/self emp/mgmt',yes,Unknown,Good
17.17,60,'all paid',other,14782,179.18,>=7,3,'female div/dep/mar',none,0,'no known property',60,bank,'for free',0,'high qualif/self emp/mgmt',yes,yes,Good
