state,age,housing,job,foreign_worker,class
Illinois,40,own,'high qualif/self emp/mgmt',yes,Good
Michigan,33,own,skilled,no,Good
New York,32,own,'high qualif/self emp/mgmt',yes,Bad
Texas,27,rent,skilled,yes,Good
California,32,Other,skilled,yes,Good
Illinois,31,own,skilled,yes,Good
Michigan,38,'for free',Other,no,Good
New York,40,rent,'unskilled resident',no,Bad
New York,50,'for free',Other,yes,Good
Ohio,37,own,'unskilled resident',no,Bad
Texas,45,own,skilled,yes,Good
California,42,own,'high qualif/self emp/mgmt',yes,Bad
Illinois,35,Other,Other,no,Good
Michigan,31,'for free',skilled,yes,Good
Michigan,41,own,'unskilled resident',yes,Good
New York,37,own,skilled,Unknown,Good
New York,28,own,skilled,yes,Bad
Ohio,41,own,skilled,no,Good
Texas,23,rent,skilled,yes,Good
California,23,own,skilled,no,Good
Illinois,31,own,skilled,no,Bad
Michigan,35,own,'high qualif/self emp/mgmt',no,Bad
Texas,50,own,'unskilled resident',yes,Good
Illinois,31,own,'high qualif/self emp/mgmt',yes,Bad
Michigan,34,own,skilled,no,Good
Texas,31,own,skilled,yes,Good
Alabama,43,rent,skilled,Unknown,Bad
Illinois,47,own,skilled,no,Bad
Michigan,27,own,'unskilled resident',no,Bad
Texas,31,own,skilled,yes,Bad
Illinois,42,own,Other,no,Good
Texas,24,own,skilled,no,Bad
Illinois,41,own,'unskilled resident',no,Bad
Texas,26,Other,'high qualif/self emp/mgmt',Unknown,Bad
Alabama,33,own,skilled,yes,Good
Alabama,24,own,skilled,Unknown,Good
Alabama,64,rent,'unskilled resident',Unknown,Good
Alabama,31,own,skilled,Unknown,Good
Alabama,56,own,Other,yes,Good
Alabama,37,'for free',skilled,yes,Good
Alabama,33,own,skilled,no,Bad
Alabama,47,'for free',skilled,no,Bad
Alabama,31,own,'unskilled resident',no,Good
Alabama,34,'for free',skilled,yes,Bad
Alabama,27,Other,skilled,yes,Bad
Alabama,30,'for free',skilled,yes,Good
Alabama,35,own,skilled,no,Good
Arkansas,31,own,Other,no,Good
Arkansas,25,Other,skilled,yes,Good
Arkansas,25,own,Other,yes,Good
Arkansas,29,own,Other,no,Good
Arkansas,44,own,'unskilled resident',no,Good
Arkansas,28,own,skilled,no,Good
Arkansas,50,rent,skilled,yes,Good
Arkansas,31,own,skilled,no,Bad
Arkansas,38,Other,'unemp/unskilled non res',no,Good
Arkansas,24,own,Other,yes,Good
Arkansas,40,rent,'high qualif/self emp/mgmt',Unknown,Good
Arkansas,29,rent,'unskilled resident',yes,Good
Arizona,46,'for free',skilled,no,Good
Arizona,47,'for free',skilled,yes,Good
Arizona,41,own,skilled,no,Bad
Arizona,32,own,skilled,Unknown,Bad
Arizona,31,'for free',skilled,yes,Good
Arizona,24,own,skilled,yes,Bad
Arizona,25,rent,skilled,no,Good
Arizona,25,own,skilled,yes,Bad
Arizona,37,Other,'unskilled resident',no,Good
Arizona,31,own,'high qualif/self emp/mgmt',no,Good
California,35,'for free',skilled,yes,Bad
California,46,own,'high qualif/self emp/mgmt',no,Bad
California,25,own,'unskilled resident',no,Good
California,27,own,'high qualif/self emp/mgmt',yes,Good
California,63,own,skilled,no,Bad
California,40,Other,skilled,no,Good
California,32,'for free','high qualif/self emp/mgmt',no,Good
California,31,own,skilled,no,Bad
California,31,own,skilled,yes,Bad
California,34,Other,'high qualif/self emp/mgmt',no,Bad
California,24,rent,skilled,no,Bad
California,24,own,Other,Unknown,Good
California,66,own,'unskilled resident',no,Good
California,21,Other,skilled,no,Bad
California,31,own,'unskilled resident',Unknown,Good
California,47,own,'unskilled resident',yes,Good
California,25,rent,skilled,yes,Bad
California,31,rent,skilled,yes,Good
California,36,own,skilled,no,Good
California,33,own,skilled,yes,Good
California,31,rent,'unskilled resident',yes,Bad
California,44,own,'unskilled resident',yes,Good
California,28,Other,skilled,no,Bad
California,37,own,Other,yes,Good
California,29,own,'unemp/unskilled non res',yes,Bad
California,23,Other,'high qualif/self emp/mgmt',yes,Good
California,35,Other,Other,Unknown,Bad
California,31,own,'high qualif/self emp/mgmt',no,Good
California,26,rent,'unskilled resident',no,Good
California,32,own,skilled,no,Good
California,23,Other,'unskilled resident',yes,Good
California,41,own,skilled,no,Bad
California,22,own,skilled,no,Bad
California,30,own,'high qualif/self emp/mgmt',yes,Bad
California,28,own,'unskilled resident',no,Good
California,23,Other,skilled,yes,Good
California,37,own,'unskilled resident',yes,Good
California,26,own,skilled,yes,Good
California,33,own,skilled,yes,Good
California,49,Other,skilled,yes,Bad
California,23,own,'unskilled resident',no,Good
California,23,rent,'unskilled resident',yes,Good
California,25,Other,Other,yes,Bad
California,55,'for free',skilled,Unknown,Good
California,32,rent,Other,yes,Good
California,31,Other,'unemp/unskilled non res',yes,Good
California,39,'for free',skilled,yes,Bad
California,31,Other,skilled,no,Good
California,35,Other,skilled,no,Bad
California,59,own,skilled,yes,Bad
California,24,rent,skilled,yes,Good
California,24,own,'unskilled resident',yes,Good
California,30,'for free','high qualif/self emp/mgmt',yes,Bad
California,27,Other,Other,no,Bad
California,40,own,'unskilled resident',yes,Good
California,31,Other,'unskilled resident',no,Bad
California,31,rent,skilled,yes,Good
California,28,rent,skilled,Unknown,Good
California,31,own,'unskilled resident',no,Good
California,26,rent,skilled,yes,Good
California,25,own,'high qualif/self emp/mgmt',yes,Bad
California,36,own,'high qualif/self emp/mgmt',yes,Good
California,31,own,skilled,no,Good
California,31,'for free','unemp/unskilled non res',no,Bad
California,25,rent,skilled,yes,Good
California,37,own,skilled,yes,Good
California,25,own,skilled,no,Bad
Colorado,38,own,Other,yes,Good
Colorado,67,own,skilled,no,Bad
Colorado,25,own,skilled,no,Bad
Colorado,60,own,skilled,yes,Good
Connecticut,31,own,'unskilled resident',Unknown,Good
Connecticut,23,own,'unskilled resident',no,Bad
District of Columbia,60,own,'high qualif/self emp/mgmt',no,Good
District of Columbia,35,own,'unskilled resident',yes,Good
Delaware,40,own,skilled,no,Bad
Delaware,38,own,skilled,yes,Bad
Florida,50,'for free',skilled,yes,Good
Florida,27,own,Other,yes,Bad
Florida,31,own,skilled,yes,Good
Florida,41,own,'high qualif/self emp/mgmt',no,Bad
Florida,27,own,skilled,Unknown,Good
Florida,51,'for free',skilled,no,Good
Florida,32,rent,skilled,yes,Bad
Florida,31,rent,skilled,no,Bad
Florida,51,'for free',skilled,Unknown,Bad
Florida,22,rent,'unskilled resident',no,Good
Florida,54,own,skilled,yes,Good
Florida,35,own,'unemp/unskilled non res',yes,Good
Florida,31,'for free',skilled,yes,Bad
Florida,48,rent,'unskilled resident',no,Good
Florida,24,own,skilled,no,Bad
Florida,35,own,skilled,no,Bad
Florida,31,rent,'unemp/unskilled non res',yes,Good
Florida,24,own,skilled,no,Good
Florida,26,own,'unskilled resident',Unknown,Good
Florida,65,own,skilled,no,Bad
Florida,55,'for free','high qualif/self emp/mgmt',yes,Good
Florida,26,rent,'unemp/unskilled non res',yes,Bad
Florida,26,own,skilled,no,Good
Florida,28,own,'unskilled resident',no,Bad
Florida,24,own,Other,no,Good
Florida,54,own,skilled,no,Bad
Florida,46,'for free',skilled,no,Good
Florida,54,rent,skilled,yes,Bad
Florida,62,own,skilled,no,Bad
Florida,24,Other,skilled,yes,Bad
Florida,43,own,'high qualif/self emp/mgmt',no,Good
Florida,26,Other,Other,Unknown,Bad
Florida,27,own,skilled,no,Good
Florida,24,own,skilled,Unknown,Good
Florida,41,own,skilled,yes,Good
Florida,31,own,Other,no,Bad
Florida,35,own,'high qualif/self emp/mgmt',no,Good
Florida,30,own,skilled,no,Good
Florida,33,rent,skilled,no,Good
Florida,36,Other,skilled,no,Good
Florida,47,'for free',skilled,yes,Good
Georgia,38,'for free',skilled,yes,Bad
Georgia,31,own,skilled,Unknown,Bad
Georgia,23,rent,skilled,yes,Good
Georgia,29,rent,skilled,yes,Good
Georgia,42,own,skilled,yes,Good
Georgia,25,own,'unskilled resident',no,Good
Georgia,48,own,Other,yes,Good
Georgia,21,own,skilled,yes,Good
Georgia,23,rent,'unskilled resident',no,Bad
Georgia,63,own,skilled,no,Bad
Georgia,46,own,skilled,no,Good
Georgia,29,own,skilled,no,Good
Georgia,28,own,'unskilled resident',yes,Good
Georgia,23,Other,skilled,yes,Good
Georgia,50,Other,skilled,no,Good
Georgia,47,own,skilled,Unknown,Good
Georgia,35,own,skilled,no,Good
Georgia,68,rent,skilled,yes,Good
Georgia,28,own,skilled,yes,Bad
Georgia,59,own,skilled,no,Good
Hawaii,57,own,'unskilled resident',Unknown,Good
Iowa,31,rent,skilled,no,Good
Iowa,43,own,skilled,no,Good
Iowa,35,'for free',skilled,yes,Bad
Iowa,32,'for free','unskilled resident',no,Good
Iowa,45,own,skilled,no,Bad
Iowa,33,own,skilled,no,Good
Iowa,40,own,skilled,yes,Bad
Idaho,31,'for free',skilled,yes,Good
Idaho,29,own,skilled,no,Bad
Illinois,26,rent,skilled,no,Bad
Illinois,31,own,skilled,Unknown,Bad
Illinois,31,own,skilled,no,Good
Illinois,35,own,Other,Unknown,Good
Illinois,32,own,'unskilled resident',no,Bad
Illinois,25,Other,'unskilled resident',no,Good
Illinois,20,rent,skilled,no,Bad
Illinois,27,own,skilled,yes,Bad
Illinois,42,own,skilled,Unknown,Bad
Illinois,37,own,skilled,yes,Good
Illinois,24,Other,skilled,yes,Bad
Illinois,40,Other,skilled,no,Bad
Illinois,46,own,skilled,no,Bad
Illinois,26,own,skilled,yes,Good
Illinois,24,own,skilled,no,Good
Illinois,29,own,'unskilled resident',yes,Bad
Illinois,40,Other,skilled,no,Good
Illinois,36,'for free','high qualif/self emp/mgmt',no,Bad
Illinois,28,own,skilled,no,Good
Illinois,27,'for free',Other,yes,Good
Illinois,36,own,skilled,no,Good
Illinois,38,own,Other,Unknown,Good
Illinois,48,'for free',skilled,yes,Good
Illinois,36,own,skilled,no,Bad
Illinois,65,own,'unemp/unskilled non res',yes,Good
Illinois,31,own,skilled,no,Bad
Illinois,53,own,skilled,yes,Bad
Illinois,34,own,skilled,yes,Bad
Indiana,23,own,skilled,yes,Bad
Indiana,34,own,'high qualif/self emp/mgmt',Unknown,Good
Indiana,40,rent,skilled,yes,Good
Indiana,43,own,'high qualif/self emp/mgmt',yes,Good
Indiana,31,Other,skilled,no,Bad
Indiana,38,own,'unskilled resident',yes,Bad
Indiana,34,own,skilled,yes,Bad
Indiana,29,own,skilled,yes,Bad
Indiana,31,own,'high qualif/self emp/mgmt',no,Good
Indiana,28,rent,'high qualif/self emp/mgmt',no,Bad
Indiana,35,Other,skilled,yes,Good
Indiana,31,rent,'unskilled resident',yes,Bad
Indiana,42,Other,skilled,no,Good
Indiana,43,rent,Other,no,Good
Indiana,44,own,skilled,no,Bad
Kansas,42,Other,skilled,yes,Good
Kansas,40,rent,skilled,no,Good
Kansas,36,own,'high qualif/self emp/mgmt',yes,Bad
Kansas,20,rent,'high qualif/self emp/mgmt',no,Good
Kentucky,24,own,'unskilled resident',no,Good
Kentucky,27,own,skilled,yes,Good
Kentucky,31,own,'unskilled resident',no,Good
Kentucky,33,own,'unskilled resident',no,Bad
Kentucky,34,own,skilled,no,Bad
Kentucky,25,Other,'unskilled resident',yes,Good
Kentucky,25,own,skilled,yes,Bad
Kentucky,28,Other,Other,yes,Good
Kentucky,31,rent,skilled,yes,Bad
Kentucky,32,own,'high qualif/self emp/mgmt',yes,Good
Kentucky,32,own,skilled,no,Bad
Kentucky,68,own,'high qualif/self emp/mgmt',no,Good
Kentucky,33,own,skilled,Unknown,Good
Kentucky,39,rent,'high qualif/self emp/mgmt',yes,Good
Kentucky,28,own,Other,no,Bad
Kentucky,37,own,Other,no,Bad
Kentucky,22,rent,skilled,yes,Good
Kentucky,30,rent,skilled,no,Bad
Kentucky,31,own,skilled,no,Bad
Kentucky,46,own,skilled,yes,Bad
Kentucky,21,rent,skilled,Unknown,Good
Kentucky,39,'for free',skilled,yes,Bad
Kentucky,58,own,skilled,yes,Good
Kentucky,43,own,Other,no,Good
Kentucky,24,Other,'unskilled resident',no,Bad
Kentucky,22,own,skilled,Unknown,Bad
Kentucky,30,own,skilled,Unknown,Good
Louisiana,42,own,skilled,no,Good
Louisiana,23,own,skilled,yes,Good
Louisiana,30,Other,'high qualif/self emp/mgmt',Unknown,Bad
Louisiana,28,Other,'unskilled resident',yes,Good
Louisiana,30,rent,'high qualif/self emp/mgmt',yes,Good
Louisiana,42,'for free',skilled,yes,Bad
Louisiana,31,Other,Other,yes,Bad
Louisiana,31,own,'high qualif/self emp/mgmt',yes,Bad
Louisiana,31,own,'unskilled resident',yes,Good
Louisiana,31,own,skilled,no,Good
Louisiana,42,own,'unskilled resident',no,Good
Louisiana,46,rent,skilled,yes,Good
Louisiana,30,own,skilled,yes,Good
Louisiana,30,'for free',skilled,no,Good
Louisiana,31,own,'high qualif/self emp/mgmt',Unknown,Good
Louisiana,31,own,'unskilled resident',no,Good
Louisiana,31,own,skilled,Unknown,Good
Louisiana,40,own,'unemp/unskilled non res',yes,Bad
Louisiana,24,own,Other,no,Good
Louisiana,28,rent,skilled,yes,Bad
Louisiana,26,own,'high qualif/self emp/mgmt',no,Good
Massachusetts,29,own,skilled,yes,Good
Massachusetts,57,rent,'high qualif/self emp/mgmt',Unknown,Good
Massachusetts,49,Other,'unskilled resident',yes,Bad
Massachusetts,31,own,'unskilled resident',no,Good
Massachusetts,45,own,'unskilled resident',no,Bad
Massachusetts,30,'for free',skilled,yes,Bad
Massachusetts,30,rent,skilled,yes,Good
Massachusetts,47,own,skilled,no,Good
Massachusetts,29,own,skilled,no,Good
Massachusetts,35,own,skilled,no,Good
Massachusetts,22,Other,'unskilled resident',no,Bad
Massachusetts,26,Other,skilled,Unknown,Good
Massachusetts,23,own,'unskilled resident',yes,Good
Maryland,54,rent,'high qualif/self emp/mgmt',Unknown,Good
Maryland,29,rent,skilled,yes,Bad
Maryland,40,own,'unskilled resident',yes,Bad
Maryland,22,own,skilled,yes,Good
Maryland,31,Other,Other,Unknown,Good
Maryland,43,Other,'unskilled resident',yes,Good
Maryland,29,rent,'unemp/unskilled non res',Unknown,Good
Maryland,31,rent,skilled,yes,Bad
Maryland,33,own,skilled,Unknown,Bad
Maine,57,own,'unskilled resident',no,Good
Michigan,64,own,Other,no,Good
Michigan,42,own,skilled,yes,Good
Michigan,47,own,'unskilled resident',Unknown,Bad
Michigan,25,rent,skilled,Unknown,Good
Michigan,49,own,skilled,yes,Good
Michigan,33,rent,'high qualif/self emp/mgmt',yes,Bad
Michigan,28,own,'high qualif/self emp/mgmt',no,Good
Michigan,26,own,skilled,yes,Good
Michigan,30,own,'unskilled resident',Unknown,Good
New Mexico,25,rent,skilled,yes,Bad
New Mexico,33,own,skilled,no,Good
New Mexico,64,own,skilled,yes,Bad
New Mexico,29,'for free','high qualif/self emp/mgmt',no,Good
Nevada,48,own,'unskilled resident',no,Good
Nevada,37,own,'unskilled resident',no,Good
New York,34,Other,'unskilled resident',no,Good
New York,23,Other,'unskilled resident',yes,Good
New York,30,own,'high qualif/self emp/mgmt',no,Bad
New York,50,own,skilled,no,Good
New York,31,own,'unskilled resident',no,Bad
New York,40,own,'high qualif/self emp/mgmt',Unknown,Good
Ohio,38,own,skilled,no,Good
Ohio,23,'for free',skilled,yes,Good
Ohio,27,Other,skilled,yes,Good
